Indicator,2020,2021,2022,2023,2024
Long Term Investments,2.77,2.76,2.75,0.00,0.00
Total Assets,76.70,103.76,126.56,108.86,104.12
Accounts Payable,14.56,20.68,26.36,20.93,25.39
Accrued Expenses,3.75,4.26,-,-,-
Notes Payable/Short Term Debt,5.49,8.81,0.00,0.00,0.00
"Other Current liabilities, Total",1.86,6.28,9.35,8.67,0.04
Total Current Liabilities,26.91,41.16,51.72,47.26,50.01
Total Long Term Debt,0.15,5.00,7.61,7.93,10.09
Total Debt,6.90,14.94,23.62,25.59,34.68
Deferred Income Tax,-,0.11,0.11,0.32,0.28
"Other Liabilities, Total",1.73,3.50,2.00,2.09,2.23
Total Liabilities,28.05,48.64,60.21,56.23,61.14
"Common Stock, Total",58.52,58.59,63.42,66.67,66.67
Retained Earnings (Accumulated Deficit),-8.88,-3.23,1.84,-13.55,-22.17
Treasury Stock - Common,-,-,-,-,-
Unrealised Gain (Loss),-,-,-,-,-
"Other Equity, Total",-0.99,-0.25,1.09,-0.49,-1.52
Total Equity,48.65,55.11,66.35,52.63,42.98
Total Liabilities & Shareholders' Equity,76.70,103.76,126.56,108.86,104.12
Total Common Shares Outstanding,496.16,496.86,580.19,630.19,630.19
"Tangible Book Value per Share, Common Eq",0.10,0.11,0.11,0.07,0.05
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,1.98,6.84,5.82,-14.66,-8.13
Depreciation/Depletion,3.48,3.79,4.15,5.34,6.69
Non-Cash Items,1.19,0.89,-0.71,14.34,3.54
Cash Taxes Paid,0.77,0.58,1.06,1.33,1.58
Changes in Working Capital,-2.97,-12.95,-7.77,12.79,-4.99
Cash from Operating Activities,3.70,-1.42,1.49,17.83,-2.67
Capital Expenditures,-4.40,-5.86,-0.87,-4.09,-3.76
"Other Investing Cash Flow Items, Total",1.54,0.41,0.64,-2.80,0.05
Cash from Investing Activities,-2.87,-5.45,-0.23,-6.88,-3.71
Total Cash Dividends Paid,-,-,-,-,-
"Issuance (Retirement) of Stock, Net",-,0.07,4.83,0.00,-
Cash from Financing Activities,0.46,6.56,7.37,-11.42,6.13
Foreign Exchange Effects,-0.15,0.13,0.05,-0.12,-0.37
Net Change in Cash,1.14,-0.19,8.67,-0.59,-0.62
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Return on Assets (ROA),-,0.058,0.044,-0.128,-0.084
Return on Equity (ROE),-,0.108,0.085,-0.251,-0.184
Operating Margin,0.022,0.066,0.052,-0.004,-0.033
Net Profit Margin,0.014,0.049,0.043,-0.116,-0.076
Asset Turnover,-,1.179,1.020,1.102,1.110
Current Ratio,1.747,1.551,1.609,1.282,1.154
Quick Ratio,1.322,1.195,0.953,0.646,0.789
Debt / Equity,0.142,0.271,0.356,0.486,0.807
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Revenue Growth (%),-,9.05,10.45,10.39,-8.86
Net Profit Margin Growth (%),-,250.80,-12.32,-370.80,-35.08
Operating Margin Growth (%),-,196.29,-21.36,-108.02,687.90
Diluted Normalised EPS Growth (%),-,175.37,-20.90,-372.23,-41.88
"Common Stock, Total Growth (%)",-,0.12,8.24,5.12,0.00
Net Income Growth (%),-,175.06,-7.62,-388.50,-41.01
