Indicator,2020,2021,2022,2023,2024
"Property/Plant/Equipment, Total - Net","2,289.01","2,295.75","2,352.37","2,658.14","2,727.32"
"Goodwill, Net",814.01,786.38,796.68,"3,091.35","3,036.23"
"Intangibles, Net","1,166.20","1,159.76","1,196.06","2,199.99","1,921.93"
Long Term Investments,469.60,492.05,519.03,544.88,630.48
Total Assets,"9,521.28","9,963.91","10,515.66","14,963.99","15,378.90"
Accounts Payable,-,-,-,-,-
Accrued Expenses,11.27,8.00,7.64,8.41,10.08
Notes Payable/Short Term Debt,0.00,0.00,0.00,0.00,0.00
"Other Current liabilities, Total","2,989.57","1,962.73","1,850.47","4,240.99","3,492.23"
Total Current Liabilities,"5,446.41","4,288.85","4,679.64","8,005.21","7,322.36"
Total Long Term Debt,468.90,"1,550.56","1,555.33","2,906.57","3,544.43"
Total Debt,901.57,"1,650.67","1,764.35","3,835.88","4,209.41"
Deferred Income Tax,174.73,166.52,174.66,167.48,156.42
"Other Liabilities, Total",940.24,"1,383.20","1,437.81","1,231.87","1,603.35"
Total Liabilities,"7,299.00","7,671.30","8,102.90","12,565.99","12,919.56"
"Common Stock, Total",895.93,895.93,895.93,895.93,895.93
Retained Earnings (Accumulated Deficit),"1,467.08","1,469.29","1,613.84","1,539.71","1,630.41"
Treasury Stock - Common,-26.73,-23.74,-33.48,-36.38,-29.64
Unrealised Gain (Loss),-32.70,-7.57,-22.24,103.58,87.44
"Other Equity, Total",-197.24,-157.24,-157.23,-220.79,-240.74
Total Equity,"2,222.28","2,292.61","2,412.76","2,398.00","2,459.34"
Total Liabilities & Shareholders' Equity,"9,521.28","9,963.91","10,515.66","14,963.99","15,378.90"
Total Common Shares Outstanding,"3,115.74","3,115.53","3,113.67","3,112.88","3,114.55"
"Tangible Book Value per Share, Common Eq",0.08,0.11,0.13,-0.93,-0.80
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,695.24,534.40,637.61,597.47,704.21
Depreciation/Depletion,275.63,297.62,314.20,337.60,340.86
Non-Cash Items,46.67,93.87,49.51,101.41,178.92
Cash Taxes Paid,90.47,78.01,112.44,108.02,158.85
Changes in Working Capital,-520.20,525.91,29.06,-542.65,-246.01
Cash from Operating Activities,589.96,"1,532.82","1,114.27",673.10,"1,178.56"
Capital Expenditures,-394.56,-287.13,-428.77,-966.13,-615.92
"Other Investing Cash Flow Items, Total",-878.27,-8.03,15.12,"-3,605.36",415.16
Cash from Investing Activities,"-1,272.83",-295.17,-413.65,"-4,571.49",-200.76
Total Cash Dividends Paid,-468.16,-468.04,-467.89,-685.63,-498.68
"Issuance (Retirement) of Stock, Net",-43.77,-29.15,-32.89,-26.43,-20.82
Cash from Financing Activities,720.24,-958.76,-615.04,"3,697.79","-1,226.07"
Foreign Exchange Effects,0.32,-1.51,0.86,-13.57,-0.16
Net Change in Cash,37.70,277.38,86.45,-214.18,-248.43
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Return on Assets (ROA),-,0.054,0.055,0.043,0.040
Return on Equity (ROE),-,0.231,0.243,0.222,0.241
Operating Margin,0.082,0.079,0.085,0.078,0.085
Net Profit Margin,0.075,0.073,0.074,0.060,0.060
Asset Turnover,-,0.735,0.751,0.709,0.666
Current Ratio,0.852,1.164,1.145,0.765,0.905
Quick Ratio,0.611,0.868,0.875,0.555,0.646
Debt / Equity,0.406,0.720,0.731,1.600,1.712
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Revenue Growth (%),-,-9.02,7.47,17.45,11.80
Net Profit Margin Growth (%),-,-2.52,0.37,-18.41,-0.50
Operating Margin Growth (%),-,-4.12,8.13,-9.14,9.17
Diluted Normalised EPS Growth (%),-,-8.50,6.75,-10.58,16.71
"Common Stock, Total Growth (%)",-,0.00,0.00,0.00,0.00
Net Income Growth (%),-,-9.71,9.33,-6.23,9.62
