Indicator,2020,2021,2022,2023,2024
"Intangibles, Net",0.17,0.31,0.62,1.05,0.98
Long Term Investments,25.99,25.78,26.08,26.23,26.35
Total Assets,"3,274.25","3,239.57","3,635.26","3,751.40","3,554.78"
Accounts Payable,490.33,397.54,643.59,533.14,391.58
Accrued Expenses,160.23,144.03,138.11,147.94,141.82
Notes Payable/Short Term Debt,1.06,0.00,0.00,0.00,0.00
"Other Current liabilities, Total",93.08,84.55,117.07,201.27,154.33
Total Current Liabilities,755.29,636.23,907.50,893.14,696.71
Total Long Term Debt,17.32,10.85,4.80,13.49,18.55
Total Debt,28.98,20.95,13.53,24.29,27.53
Deferred Income Tax,3.04,3.37,3.51,1.89,1.67
"Other Liabilities, Total",-,-,-,-,-
Total Liabilities,778.05,653.12,918.91,911.72,720.68
"Common Stock, Total",811.08,826.98,832.83,838.28,838.06
Retained Earnings (Accumulated Deficit),"1,781.72","1,860.56","1,953.25","2,102.24","2,156.15"
Treasury Stock - Common,-19.99,-16.67,-16.06,-15.54,-22.43
Unrealised Gain (Loss),1.79,1.80,3.31,1.91,2.34
"Other Equity, Total",-78.40,-86.21,-56.97,-87.22,-140.00
Total Equity,"2,496.20","2,586.45","2,716.35","2,839.68","2,834.11"
Total Liabilities & Shareholders' Equity,"3,274.25","3,239.57","3,635.26","3,751.40","3,554.78"
Total Common Shares Outstanding,288.46,290.03,290.57,291.00,290.43
"Tangible Book Value per Share, Common Eq",6.44,6.71,7.14,7.56,7.55
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Source,ARS,ARS,ARS,ARS,ARS
Net Income/Starting Line,420.02,342.83,359.59,448.90,330.76
Depreciation/Depletion,38.50,41.46,36.63,32.43,31.02
Non-Cash Items,-10.19,-0.67,3.26,-8.53,-30.84
Cash Taxes Paid,61.51,45.02,55.93,51.05,72.62
Changes in Working Capital,-218.83,69.38,-297.89,-204.14,190.02
Cash from Operating Activities,229.70,453.15,101.84,269.09,521.42
Capital Expenditures,-35.19,-28.05,-11.36,-33.60,-47.92
"Other Investing Cash Flow Items, Total",10.45,8.16,9.27,8.72,25.27
Cash from Investing Activities,-24.74,-19.89,-2.09,-24.88,-22.64
Total Cash Dividends Paid,-201.69,-216.90,-217.82,-218.12,-218.23
"Issuance (Retirement) of Stock, Net",5.52,15.55,2.96,2.46,-6.12
Cash from Financing Activities,-204.99,-214.25,-225.72,-226.73,-236.47
Foreign Exchange Effects,1.67,-4.74,5.17,-12.82,-18.59
Net Change in Cash,1.64,214.27,-120.81,4.66,243.71
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Return on Assets (ROA),-,0.091,0.091,0.100,0.074
Return on Equity (ROE),-,0.117,0.118,0.133,0.095
Operating Margin,0.113,0.112,0.114,0.114,0.100
Net Profit Margin,0.100,0.099,0.101,0.096,0.089
Asset Turnover,-,0.925,0.904,1.046,0.828
Current Ratio,3.105,3.652,3.017,3.172,3.739
Quick Ratio,2.170,2.620,1.860,1.979,2.558
Debt / Equity,0.012,0.008,0.005,0.009,0.010
Period Ended,31 Dec 2019,31 Dec 2020,31 Dec 2021,31 Dec 2022,31 Dec 2023
Revenue Growth (%),-,-17.08,3.14,24.34,-21.71
Net Profit Margin Growth (%),-,-1.30,1.82,-4.69,-6.57
Operating Margin Growth (%),-,-0.73,1.54,0.20,-11.99
Diluted Normalised EPS Growth (%),-,-17.94,4.06,18.54,-26.94
"Common Stock, Total Growth (%)",-,1.96,0.71,0.65,-0.03
Net Income Growth (%),-,-18.12,4.95,18.45,-26.95
