Sub-sector,Company Name,Year,GHG Emissions (Scope 1) (tCO2e),GHG Emissions (Scope 2) (tCO2e),GHG Emissions (Scope 3) (tCO2e),Total Energy Consumption (MWhs),Total Water Consumption (ML),Total Waste Generated (t),Current Employees by Gender (Female %),New Hires and Turnover by Gender (Female %),Current Employees by Age Groups (Millennials %),Total Turnover (%),Total Number of Employees,Average Training Hours per Employee,Fatalities,High-consequence injuries,Recordable injuries,Recordable work-related ill health cases,Board Independence (%),Women on the Board (%),Women in Management Team (%),Anti-Corruption Training for Employees (%)
Software and Services,Company_4,2021,224.6132576,232.9010761,1633.431951,13904.06173,899.9867646,67.87003694,27.1457299,12.41146159,61.50185144,10.23326147,186,47.55378869,0,2,3,3,78.8115173,25.52446356,38.99552495,74.99598341
Software and Services,Company_4,2022,268.4576925,756.7123113,1581.892603,18764.7291,586.5193463,79.86905534,45.09737423,18.97342023,56.82831536,14.03449842,172,40.9278392,1,2,10,5,93.46055313,31.76301584,18.26165495,94.34085494
Software and Services,Company_4,2023,468.6021968,436.1260552,1086.958151,41590.96451,658.6801603,19.1634193,31.79854711,22.31694249,69.46875617,12.27369576,224,42.97788729,1,1,3,4,92.5907561,31.66504103,13.9433437,92.52250083
Software and Services,Company_4,2024,109.5725121,703.806368,1944.889226,9268.85573,831.522411,78.46013311,34.16602412,41.69355624,66.49546427,18.85871789,652,24.37063624,2,1,1,1,85.17626727,34.46620871,27.5011999,93.12014229
Software and Services,Company_5,2020,445.5447632,688.0740953,1962.138859,22774.18851,752.2797883,58.58458879,41.76570152,16.88887111,68.68593079,7.990674673,855,32.19667074,2,3,7,3,62.85683009,40.26035249,21.53492799,64.81377078
Software and Services,Company_5,2021,470.1459426,986.3497262,227.9793061,32628.01577,816.7061308,60.06279932,41.17546785,17.79278632,59.31426062,16.23649961,285,16.2365829,2,1,5,4,97.77767902,23.11523022,20.71821151,57.01421708
Software and Services,Company_5,2022,255.6208462,723.6298439,1827.349911,27098.50101,909.9210777,76.85824419,44.33799902,32.51124015,37.58211303,12.65969066,427,44.18881814,1,1,2,2,71.4556265,32.80265275,25.55551921,65.42185387
Software and Services,Company_5,2023,96.55208657,169.1527456,1980.056331,29919.22195,737.7114274,31.54537584,42.4406569,28.48862909,33.32024631,6.436452925,574,19.57723527,1,3,0,4,65.37468436,32.03776935,14.60060979,64.33346935
Software and Services,Company_5,2024,300.2299909,966.9510087,1225.244141,7461.075745,221.6753938,29.36326804,43.55417868,12.82543325,65.60659466,7.10090753,108,35.65331819,0,2,6,0,66.58410483,29.87272689,20.033626,69.87729953
Software and Services,Company_6,2020,301.4722255,481.4403421,652.8295491,32095.05623,280.7785469,70.72317352,34.13231103,22.86422684,59.92268049,18.56592054,217,28.33150411,2,2,7,5,52.32221559,27.33429142,27.76514603,62.04473659
Software and Services,Company_6,2021,485.4400818,724.0812131,850.4471466,17944.825,663.5119849,68.72086127,39.47596005,33.84486432,49.53960146,18.20415396,893,49.94816937,2,3,10,3,52.89237734,40.39798399,33.04229216,59.2647343
Software and Services,Company_6,2022,432.5853547,844.8671871,248.5813927,19778.41078,305.5011445,46.10654055,34.69854176,16.38420731,67.3470745,13.79768303,784,26.49515678,0,0,4,0,94.23484625,38.54871604,19.55383412,73.0517634
Software and Services,Company_6,2023,327.5045006,165.7950994,1898.01663,44585.38031,165.2624413,35.99748754,27.31506857,46.38488174,54.35217271,12.0360908,756,24.15756221,1,2,7,5,63.04955092,15.68563623,15.06902779,53.05577045
Software and Services,Company_6,2024,298.8375148,305.4526102,1448.081923,38299.67354,973.180333,89.86336661,47.12064557,15.39631109,64.07480308,13.92291646,874,41.98273645,2,2,8,5,90.73844433,46.59822226,22.52387239,78.52125972
Software and Services,Company_7,2020,280.6347636,166.3735796,902.5890221,6350.777634,323.8501074,14.33988081,28.61012469,15.66657416,63.8875175,8.265421566,110,25.0076331,0,0,8,5,61.01419369,17.21608826,16.8804339,82.07778904
Software and Services,Company_7,2021,327.6618125,414.2042648,351.1319715,14639.18932,326.0414729,46.92890677,30.20152342,13.46182114,55.36475787,7.490193156,484,34.68980311,0,0,4,3,84.99693536,23.13321282,28.94565872,87.6804935
Software and Services,Company_7,2022,137.3242607,286.5649163,1896.068917,48154.79235,288.2703906,63.2088603,40.96522684,16.63553282,37.96471734,16.82670926,482,13.96975009,2,1,6,5,93.30265587,14.64438594,22.48434388,87.31742356
Software and Services,Company_7,2023,396.3810938,167.534676,373.2344049,8555.738696,193.800087,49.28428533,46.24373345,24.30716303,51.47638744,10.23703709,100,32.06928819,2,2,6,5,69.43964441,46.80573273,22.97348316,59.55272735
Software and Services,Company_7,2024,172.2778685,475.3437881,748.3061818,24101.75271,639.4538704,58.47569182,45.8843865,35.19705,55.68111619,5.1495372,457,33.82410081,1,0,10,0,93.70223074,30.12665373,20.02034936,97.44970275
Software and Services,Company_8,2020,176.7343083,843.1067426,534.7169278,23340.66194,186.5359383,33.09342893,40.73503365,40.17560385,38.61079779,16.17084244,905,12.05125467,1,0,7,4,85.94505183,45.75602334,19.45878215,92.35318777
Software and Services,Company_8,2021,414.3691098,375.1182929,1711.078287,32533.31603,247.9441319,64.24875034,48.94470496,41.02421361,58.08719625,7.097478165,134,46.96335203,0,1,5,5,78.17290502,14.66023249,18.32898642,84.63890254
Software and Services,Company_8,2022,372.0710771,866.0113063,1146.491465,20237.688,690.7443031,29.03922192,30.11637024,38.60627424,38.40305322,5.817056191,740,33.98936265,1,1,9,4,75.6349842,36.11352781,28.98000469,98.08477267
Software and Services,Company_8,2023,107.2020418,941.2479635,782.7177653,44274.87707,363.3173358,54.19139162,29.97045506,33.54380346,68.11447759,7.153148724,499,49.53235721,1,2,1,4,66.44056327,22.59619581,12.96494535,51.57311839
Software and Services,Company_8,2024,144.2575483,579.8812951,1510.929935,21790.80288,917.2919972,53.84685464,34.93588963,18.19970834,39.60696349,19.94968343,764,14.43240114,2,1,4,2,93.64734946,12.08136108,33.69768352,86.29293328
Software and Services,Company_9,2020,433.6583322,830.1661391,1341.96303,38659.27081,213.1797814,77.16904883,48.64037359,26.75927406,36.57573862,10.45210065,473,29.8524676,2,3,9,1,72.97779362,29.97548152,19.71858401,78.64689275
Software and Services,Company_9,2021,270.1278846,841.5584526,420.2390318,12330.67449,860.7693033,44.9954132,40.53730457,21.72834054,37.70778135,19.44869121,395,25.67067376,1,3,5,3,70.71066671,40.58013755,21.51198711,99.3850434
Software and Services,Company_9,2022,153.337903,384.3565677,338.5080148,27260.89453,183.5857728,91.71285332,33.44049215,43.95714852,53.38945524,6.637688857,803,38.13426027,1,0,6,0,86.90346652,10.64957271,34.05854105,75.77072426
Software and Services,Company_9,2023,70.53826976,719.9863551,432.5714077,18893.00121,201.8657867,99.57356837,22.63862095,45.84988747,59.75432981,10.9513866,227,45.0561099,0,3,2,5,72.9939695,41.87224831,14.33347099,88.26763091
Software and Services,Company_9,2024,461.619051,948.0853752,1156.409809,43799.20601,960.7565095,28.9143175,38.39680258,15.82248378,67.27045644,12.37740509,436,39.5796913,1,2,3,0,65.49405032,27.94792365,28.44660691,78.79385701
Software and Services,Company_10,2020,247.2629445,612.1296791,906.7109632,16542.67957,737.6329129,41.56969812,45.95351491,18.13625048,53.2679438,12.13108738,752,18.76200511,2,2,7,3,74.9792925,23.68067348,19.2402182,55.91004964
Software and Services,Company_10,2021,459.5173943,395.4593201,423.9301471,35962.61399,987.0968939,24.04132909,25.70543666,21.53008248,56.27369697,10.42691325,395,48.69675597,0,2,2,1,59.67982753,30.24980721,32.97033956,55.88229165
Software and Services,Company_10,2022,193.9081537,795.1976973,1824.877083,10956.15499,870.7074738,30.19195228,28.17125202,22.2585731,41.49447647,7.111554611,711,28.39737597,1,2,3,5,80.03235181,44.40670933,34.38454927,60.67857634
Software and Services,Company_10,2023,237.0038204,173.277084,1274.63833,29418.00167,308.4602184,22.30805469,47.67933697,32.33943809,53.82558227,10.87555303,128,46.50420251,0,1,0,5,84.26844717,49.85845681,37.09251801,70.63751767
Software and Services,Company_10,2024,161.0498286,796.6089281,1513.28613,15174.15068,624.6252705,25.08320578,31.39804102,12.28410212,49.51862676,8.493037293,864,42.67229835,2,0,3,2,71.18098436,10.65620847,29.32457375,69.21931248
Software and Services,Company_11,2020,73.13106926,173.6459473,328.891487,13508.51903,866.2863834,22.94993155,20.80116651,22.15778399,68.53319873,17.47773965,409,39.00855718,0,0,9,3,97.84103552,13.1939644,33.34076446,83.19786684
Software and Services,Company_11,2021,305.8980894,879.800876,441.703882,21386.80389,963.2964319,54.88809932,29.24386951,38.41304333,47.09130039,10.86550118,963,26.67075319,2,3,10,3,63.16224384,34.22741819,23.13869884,74.81745028
Software and Services,Company_11,2022,111.6311188,693.0425635,985.8334496,17085.10469,831.1168547,57.3585235,37.03441085,22.26913728,55.99493874,5.283359822,612,22.36189295,0,1,7,3,50.1215673,16.71413974,31.33076953,65.51023391
Software and Services,Company_11,2023,398.5010592,585.0595175,1775.203085,36525.89688,763.527867,22.62053276,24.30716381,15.03839248,57.40472429,13.69199619,886,48.62571381,1,1,8,3,64.76857406,19.43791789,36.33064313,73.33897234
Software and Services,Company_11,2024,401.7375349,340.1652296,1700.354562,48724.4096,944.7748038,90.87594414,24.3079977,40.62012792,68.02501948,13.28606967,676,14.90846612,2,1,7,2,74.10596473,13.1217693,20.56187052,77.85518266
Software and Services,Company_12,2020,226.9709423,191.440499,1984.689474,21047.31248,155.3957891,94.73292306,48.16727429,36.84256435,58.6617833,9.432064518,547,21.79189742,1,2,0,3,87.49800234,26.98795747,14.6050573,82.47696337
Software and Services,Company_12,2021,331.5143185,201.5290205,692.2979854,39170.72709,870.2586698,72.55884481,28.52646151,27.16318022,55.7146932,10.22484221,737,11.68565892,0,3,3,2,75.97918524,41.3999223,19.45583698,57.07833929
Software and Services,Company_12,2022,455.8580696,649.7382981,493.9973527,14874.32305,359.3856387,76.85340386,26.55382751,27.6256246,61.52999577,15.03757622,207,27.4312201,1,3,7,3,73.78857959,38.39618344,15.59635172,85.87135883
Software and Services,Company_12,2023,171.7147228,174.1606281,1256.095145,44770.02314,577.8530364,39.89164707,35.35255185,11.24455679,60.28091664,16.79721949,513,12.07926892,1,3,8,0,71.39497444,42.52354757,11.3701402,73.91680169
Software and Services,Company_12,2024,327.6246667,836.2108416,801.4113328,37985.69084,174.6650062,91.27395428,20.62400154,44.49750663,39.8894265,18.33498973,241,18.29687225,2,2,1,4,94.4629937,30.42000782,18.45015395,54.02131397
Software and Services,Company_13,2020,376.202884,677.1958161,1421.844096,7505.842924,215.1773531,22.78099194,24.33780473,15.87604585,51.94694702,17.68032062,172,19.19586097,1,2,6,0,81.12892323,40.46230925,19.64797423,93.81880025
Software and Services,Company_13,2021,68.92136859,653.4381717,1275.241446,40509.23546,773.1966192,83.63736543,21.99509438,46.07453945,52.09640465,11.04034966,282,19.63234711,0,3,1,2,98.72322214,28.76779388,39.91441051,78.63959623
Software and Services,Company_13,2022,90.41852747,339.2789008,1779.352668,9224.789715,958.170549,77.53549184,26.49457918,12.91211626,41.49107199,11.09701847,809,38.23929191,1,3,0,0,77.19877134,10.47687739,39.58812193,97.29755716
Software and Services,Company_13,2023,74.15974824,476.076389,803.3209926,34600.4273,630.3718835,68.73189981,29.88773036,22.30001776,54.37443332,6.739047644,147,45.01295604,0,2,6,0,81.41958728,15.99700697,39.63098646,89.65922597
Software and Services,Company_13,2024,438.2795466,952.0589469,1673.375667,6701.447258,948.628697,84.21221099,41.87179995,25.23027051,67.65733217,19.74966578,694,44.37760409,2,0,2,2,84.43306588,24.5882356,22.12339839,64.74229221
Software and Services,Company_14,2020,278.8665216,167.4361559,953.9805168,29733.02745,207.1644487,13.89374238,32.85645245,10.27266795,38.66730304,15.8202918,100,22.37939117,1,0,1,0,55.57847144,32.23117311,27.70300901,79.11307076
Software and Services,Company_14,2021,223.5855427,269.8806212,401.7077929,6310.199878,561.1011675,84.97337852,27.98991438,22.92992604,68.57348545,19.10127143,887,15.36195672,2,2,3,4,64.54331993,48.9216863,20.03303779,65.40218007
Software and Services,Company_14,2022,111.6721863,983.815254,1702.060951,36928.23271,320.212916,47.09047179,41.70953098,11.40922439,42.56592652,16.68977007,317,30.7837336,0,1,8,5,70.93621649,22.71244927,39.73098879,75.76198303
Software and Services,Company_14,2023,379.7115774,243.4417419,662.1751783,25575.54467,243.3322576,19.46625441,33.78422817,46.17506889,43.85494134,13.70763222,200,17.6277063,2,0,1,3,63.10646243,11.20764592,16.31423684,74.93795634
Software and Services,Company_14,2024,156.6512366,275.9125384,563.843291,42143.61992,125.7087007,24.12090537,38.71487383,28.24824706,67.3833611,5.06237058,182,45.93764222,2,1,2,1,59.7076151,20.80082328,12.9409179,99.89698544
Software and Services,Company_15,2020,499.5323512,907.5297458,1643.994456,13840.57724,796.2082857,93.32372721,25.77632423,21.03337105,46.37664918,5.719115629,580,41.52880806,1,2,9,0,74.51301093,27.51839509,32.1449163,71.85165562
Software and Services,Company_15,2021,325.2457255,762.7497393,867.2907841,41268.71696,321.9145166,37.83245248,42.03311213,16.15499816,56.78319621,7.536569385,485,46.24109008,1,1,4,3,86.85064071,15.60674388,10.81060263,61.16179709
Software and Services,Company_15,2022,285.9138789,475.6428238,1062.855813,24789.23682,108.427922,51.87928737,31.37768938,32.32732339,47.80107702,15.55242571,371,18.70511481,2,1,3,2,86.38367335,18.84047459,39.82357541,79.19208027
Software and Services,Company_15,2023,338.259764,771.6498104,613.3489689,34045.92186,938.3719892,95.77552638,39.12583284,19.72966846,61.69787372,13.90650171,881,35.21595561,0,0,4,2,92.74967747,29.89787186,19.61656151,99.49070184
Software and Services,Company_15,2024,55.82422163,310.152196,432.6675551,25767.66616,259.0143875,18.13900893,44.05866892,17.71142679,63.84561657,17.09895021,114,13.85287555,2,2,2,3,99.04213881,43.70766705,12.06036211,63.19169601
Software and Services,Company_16,2020,194.5717433,931.6497987,1267.019913,13741.75231,818.4961164,44.58787236,46.79932948,23.15551001,35.03806224,10.43505599,328,10.43287769,1,1,4,1,81.4654512,36.97328939,37.0452483,95.25397084
Software and Services,Company_16,2021,422.874784,210.5627973,1251.80451,8250.875385,362.0879684,43.79659635,44.98789823,20.83109968,30.34463545,18.80879034,933,37.66672149,0,1,3,1,84.90748621,37.90934853,29.06921741,72.87398955
Software and Services,Company_16,2022,317.2979919,621.3651106,1786.343454,33438.45396,897.9692955,31.2644679,33.16499098,35.54279675,46.57410052,16.35350011,452,18.40980176,1,3,7,4,54.69223724,49.38690673,20.62399428,55.93828429
Software and Services,Company_16,2023,409.0687915,999.7467503,371.6625881,43318.50704,463.3060503,98.91009903,28.79706982,37.31161558,31.98159431,9.695392925,600,31.19046632,2,2,6,1,51.06968832,34.11860041,15.89459481,57.59102816
Software and Services,Company_16,2024,69.73252252,753.7619483,1518.203662,17096.68932,456.9684843,42.92034531,27.33962949,20.0897722,37.55479829,18.86566555,914,19.16176085,2,2,10,1,90.3320142,21.10651406,30.09505382,94.25465082
Software and Services,Company_17,2020,288.5470032,520.4726595,1927.400282,9900.760417,188.8857551,65.24701656,37.98458875,38.84988011,56.90979714,5.042810883,214,39.72497219,0,0,2,4,83.8044872,46.94976002,10.18540217,97.59232261
Software and Services,Company_17,2021,176.6246338,395.7476417,1675.539094,26834.55124,110.4030525,60.96508288,38.99283426,48.96833901,42.34155232,16.6149923,180,18.76964645,2,0,10,3,76.20527576,47.05827455,29.17738566,67.46718211
Software and Services,Company_17,2022,254.9468969,827.5691488,1921.772551,28000.30628,406.9717783,26.98837156,25.50876642,29.11603275,58.3596431,10.7921279,239,47.77609389,1,2,7,3,74.02263122,47.96734005,11.78247952,51.51125729
Software and Services,Company_17,2023,386.4343291,519.5731222,1123.193093,24899.00738,826.1219574,35.25588503,32.2004582,24.79973407,34.3282691,9.80806543,330,46.82467494,2,0,8,2,51.49183557,41.29584362,26.08970602,85.25475874
Software and Services,Company_17,2024,233.4066312,271.1422324,1927.777536,24088.27318,378.8579691,10.15370957,27.46332464,30.98419517,47.16577975,18.21880714,266,10.04742613,0,0,6,1,54.92438146,26.2152142,37.70187458,74.81229941
Software and Services,Company_18,2020,444.3602862,479.0420084,1143.079273,31109.38455,535.9948934,80.11720634,47.38706923,12.89555235,51.57276838,9.687851492,273,42.41192218,2,2,2,5,55.45485905,33.02193412,26.81790878,79.35452623
Software and Services,Company_18,2021,232.1929961,755.2016245,759.2627493,42360.94086,257.7478162,12.4343227,25.69828775,23.85707661,37.27911084,15.91618138,128,17.75944304,0,1,7,0,69.55682332,43.04233152,14.18004784,90.07659744
Software and Services,Company_18,2022,324.2634493,291.2016424,1978.198245,33394.28141,264.7492859,64.01860477,32.24558434,39.82030106,42.54176749,8.353135851,883,17.22833153,2,0,7,4,55.24129737,45.42896802,24.99408769,51.76723023
Software and Services,Company_18,2023,254.4462099,610.715072,1031.439449,13330.96293,437.340425,71.12337714,25.91631676,45.96657116,43.68513482,10.38063037,806,40.40599511,2,2,8,1,57.85076671,42.25172923,34.45795043,90.24559698
Software and Services,Company_18,2024,231.8522738,917.43421,763.0229006,27279.92986,682.3033818,28.81478052,30.56042639,46.02672448,49.76344089,15.82642616,694,12.91928372,2,1,9,2,56.80847103,35.10010992,16.18848074,66.64536964
Software and Services,Company_19,2020,219.4159365,582.5101738,1830.8463,11350.02073,725.7891184,57.44372493,48.7688831,40.96548603,57.94251903,10.67654456,725,17.69435855,2,2,1,4,99.82442355,13.58480852,36.91799702,80.26781804
Software and Services,Company_19,2021,97.02737394,300.5307971,850.9081541,35700.83058,546.9922777,76.77725156,27.08452556,34.64013961,36.91965372,12.54694364,873,18.65763972,0,1,0,2,87.39550434,43.14936363,36.72573723,79.19454237
Software and Services,Company_19,2022,62.06511197,555.6113207,427.0633522,39129.5477,951.0111658,81.97313111,29.2017753,41.44908185,30.53934541,16.03662594,372,31.01814889,0,2,1,1,65.8033567,27.71456186,30.15614659,78.29237195
Software and Services,Company_19,2023,395.7022705,733.6557056,1391.63414,29729.75755,559.4506951,93.42252565,36.09750286,10.33613584,39.41377392,7.71226612,156,46.30221055,2,3,5,2,56.63423701,41.93300503,23.60027529,76.71778332
Software and Services,Company_19,2024,246.0015971,110.8643304,1645.408298,17690.19868,920.1822302,65.70976727,40.85999329,16.87913564,34.27056824,19.63047132,651,28.18877863,1,0,2,3,70.6396305,13.17972737,18.36586121,52.78032863
Software and Services,Company_20,2020,284.5397531,926.9636737,1994.440539,18669.65597,892.2228394,23.52105128,21.88224806,43.62866214,37.11707214,11.77311893,490,26.11888621,1,3,3,3,68.1344788,28.36980008,18.99144756,97.87570436
Software and Services,Company_20,2021,456.4022223,367.9344723,1809.324438,34518.70613,853.1649418,91.64681972,25.65917906,49.34974346,33.27912889,6.110562686,265,38.54026295,2,1,10,0,52.73237112,15.77719391,14.61322991,59.82404583
Software and Services,Company_20,2022,301.2813645,396.1126672,1449.113673,35755.4351,410.1322309,40.51711821,21.19167786,30.75342944,61.14214488,10.29023309,762,33.21171482,1,3,9,4,73.82835704,21.6890298,31.5657942,90.00627714
Software and Services,Company_20,2023,344.6576792,588.3019141,1721.953289,10895.60357,936.5923534,81.70065691,21.02562091,27.82261343,36.94858837,14.24361113,684,41.00595466,0,3,7,2,84.6223252,34.4523552,30.63557727,50.34921397
Software and Services,Company_20,2024,104.2570907,972.1983214,1083.636888,18963.67186,770.4708402,63.75023629,20.39391698,25.23427192,36.68063023,14.66009514,837,44.09192646,0,1,8,3,97.02342237,33.42455046,16.10640705,69.38344342
Software and Services,Company_21,2020,148.7950344,148.9218874,920.7366211,9211.816217,320.1547414,13.50611849,34.6006859,35.98034402,30.31422235,10.72720544,996,42.54683934,0,3,9,3,76.00147071,47.46867801,36.0853031,90.23020084
Software and Services,Company_21,2021,204.7772541,269.0518492,1415.10236,6893.79896,675.0875079,74.6054359,43.50248907,38.96563985,38.13937211,17.19628168,174,36.67202072,2,0,2,0,79.2875298,13.68364099,15.40776408,58.87188525
Software and Services,Company_21,2022,290.3976163,176.804996,916.4830988,20227.4453,788.8966434,78.33108194,36.67383408,46.43751225,44.23520317,15.56465975,238,11.40881902,0,1,10,2,93.85162037,28.19115625,25.86387382,86.70466737
Software and Services,Company_21,2023,313.4018712,676.3038302,1010.17403,24356.85206,930.8007111,93.32662478,35.46164821,28.361334,45.565894,17.30161466,978,36.45236312,1,2,10,0,77.68016155,20.05769967,14.26346624,54.02862275
Software and Services,Company_21,2024,65.18331313,394.2831112,1332.069428,49645.58313,981.3028726,21.92891718,20.07427085,12.56416717,51.61528714,6.31715792,128,17.13104452,0,1,8,3,92.9568904,44.79366864,10.51767846,62.3609894
Software and Services,Company_22,2020,92.3491949,779.2910839,1943.150943,41251.13332,360.3596894,75.21756092,32.5247406,44.53271674,56.15087726,9.988508162,882,25.49712805,1,2,7,2,68.32443745,35.46193315,37.01498962,63.23654572
Software and Services,Company_22,2021,433.607178,849.2747912,920.1204239,42746.4969,290.5849732,98.51040075,42.63325432,40.33928274,51.06013319,7.266589358,318,45.92044725,2,1,2,1,87.90674606,36.99393626,22.34914624,62.02464404
Software and Services,Company_22,2022,60.95882847,153.4890494,1922.243607,48223.40863,294.8187166,92.52592601,29.10003097,31.1260092,67.75603962,6.072625547,664,32.62774754,1,1,6,3,81.35081734,23.43657383,21.58677429,51.44505584
Software and Services,Company_22,2023,428.6999388,979.2836165,471.5969648,38026.44505,947.6316326,36.63164076,36.4759565,19.52220311,45.52307982,6.572741003,106,48.4948463,2,3,5,4,61.3056194,38.70883555,23.73720642,54.25324625
Software and Services,Company_22,2024,181.219834,236.0724619,1110.345805,22191.02464,842.038564,74.15876198,38.14324745,25.15480857,39.31392909,11.32062394,988,47.07866022,0,2,3,5,97.67785989,43.47873067,11.69382868,57.10051254
Software and Services,Company_23,2020,93.82183177,132.9928693,1595.917504,13219.76917,226.817474,21.71107125,22.86432278,14.79985198,47.88667425,19.83974149,660,15.10714063,1,3,3,4,61.95797423,21.97675114,36.30336155,77.12497033
Software and Services,Company_23,2021,402.3651096,400.2103688,1402.617617,22518.80177,696.3659348,38.07295235,38.0195815,30.41283503,50.11672137,12.66304972,980,10.93234479,0,1,9,3,71.11331613,33.98484557,10.68038393,81.4344619
Software and Services,Company_23,2022,351.3693567,213.6967336,935.2971894,29646.80341,606.8757197,47.68352834,34.09752467,39.88359736,52.59851422,17.10007084,217,17.23173976,0,3,1,3,92.55820951,40.90575344,36.44903094,55.61160048
Software and Services,Company_23,2023,490.9933964,847.7876331,1588.324204,32843.85314,673.490471,43.12260006,41.28729591,34.24393157,65.0074793,9.752583637,266,35.99668361,0,2,10,1,74.80780324,40.46075339,29.2284892,61.84977217
Software and Services,Company_23,2024,216.2502258,545.3614478,576.9351132,35081.07809,824.82663,11.18754838,48.78191318,13.69050228,64.10295518,16.10618318,815,27.60903642,2,2,2,1,81.58314249,22.47501448,23.72269986,58.54041176
Software and Services,Company_24,2020,58.06427851,552.9279922,883.1808116,18113.82427,397.3894547,37.55330963,48.45573605,46.88751124,36.45335859,10.40915733,375,31.76214141,2,2,4,3,50.25047871,10.20343859,15.09058595,51.71628831
Software and Services,Company_24,2021,456.1325459,389.8675063,278.025187,41208.19248,288.1128816,19.19599758,34.79271376,10.44480892,30.30748591,8.902000557,337,43.9485926,2,0,0,2,97.85099472,41.54101279,36.3478631,65.00625919
Software and Services,Company_24,2022,71.07672065,312.4547952,1432.207956,48157.35619,950.3679982,24.30534853,47.16136402,22.21711231,46.36510491,15.94589247,424,18.3400633,0,2,2,3,76.21098865,25.90482315,30.05664045,83.09771121
